subject_name	R_bases	C_bases	V_bases	R_recomb_bases	C_recomb_bases	V_recomb_bases	AllF	AllFrare	AllFrecomb	AllRI	AllRIrare	AllRIrecomb	RonlyF	RonlyFrare	RonlyFrecomb	RonlyRI	RonlyRIrare	RonlyRIrecomb	ConlyF	ConlyFrare	ConlyFrecomb	ConlyRI	ConlyRIrare	ConlyRIrecomb	VonlyF	VonlyFrare	VonlyFrecomb	VonlyRI	VonlyRIrare	VonlyRIrecomb	RConlyF	RConlyFrare	RConlyFrecomb	RConlyRI	RConlyRIrare	RConlyRIrecomb	RVonlyF	RVonlyFrare	RVonlyFrecomb	RVonlyRI	RVonlyRIrare	RVonlyRIrecomb	VConlyF	VConlyFrare	VConlyFrecomb	VConlyRI	VConlyRIrare	VConlyRIrecomb	RonlyF_VIrare	RonlyF_CIrare	RonlyF_CandVIrare	ConlyF_VIrare	ConlyF_RIrare	ConlyF_RandVIrare	VonlyF_CIrare	VonlyF_RIrare	VonlyF_CandRIrare	RCF_VIrare	RVF_CIrare	CVF_RIrare
107	1036634	792534	1029789	951	951	0	3546	674	32	0	0	0	2	2	0	34	13	0	0	0	0	34	34	0	0	0	0	65	51	0	0	0	0	0	0	0	0	0	0	25	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1077	798730	1036188	979111	14177	15083	14758	3145	620	132	6	0	0	0	0	0	154	109	4	0	0	0	0	0	0	0	0	0	59	47	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	26
1078	875018	249618	1015869	22555	0	35303	32	32	8	65	1	2	96	40	9	103	65	20	0	0	0	85	74	6	1	1	0	35	34	1	1	0	0	33	0	3	0	0	0	91	5	25	4	2	1	17	10	4	51	54	58	8	0	0	5	0	0	58	58	0
1079	1018215	1036824	1035527	19690	25694	12657	2169	858	197	7	0	0	0	0	0	299	137	5	0	0	0	2	0	0	0	0	0	22	8	1	0	0	0	2	0	1	0	0	0	19	1	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	13	0	132
1106	1024517	1032626	1038242	26722	26943	3510	667	425	137	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
1145	1026277	1034922	888302	261	497	177	4155	780	20	7	0	0	1	1	0	3	2	0	0	0	0	1	1	0	0	0	0	139	116	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
1176	1038149	1035843	1027021	14626	51945	13428	380	372	47	322	88	86	0	0	0	62	29	42	0	0	0	6	2	1	1	1	0	528	303	54	53	25	0	330	90	195	0	0	0	18	5	8	0	0	0	0	0	0	0	0	0	0	7	7	0	0	41	504	0	59
1182	1036038	1029053	1035249	3396	1474	24510	241	218	50	3	0	0	20	13	0	361	165	33	0	0	0	10	7	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	19	8	3	470	207	36	27	0	10	0	0	0	91	0	31	0	0	0	0	0	508
1201	1038120	1025145	1037114	184	803	670	1086	729	14	10	0	0	1	1	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	18
1226	1018587	1035547	1033213	4431	4431	4431	5134	1056	1	24	0	0	1	1	0	26	22	0	0	0	0	2	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
192	1036095	1028769	1037030	47523	47748	47523	5115	1215	81	7	0	0	1	1	0	20	13	0	0	0	0	2	2	1	0	0	0	64	51	3	0	0	0	0	0	0	2	0	0	46	7	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	4	1
227	822591	1034715	1038235	14887	16439	14887	798	540	27	4	0	0	0	0	0	178	149	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
