Sample_name,ompA_genotype,DNA_concentration_ng,Human_DNA_added_ng,Human_DNA_ volume_uL,TE_added_uL,Ct_qPCR_copies_uL,b-actin_qPCR_copies_uL,Ct_qPCR_rload_ompA-b-actin,Mean_depth_coverage
26V,E,3120,None,None,80,534.5,233.672083,2.287393484,98.48687746
26R,E,1661,1339,7,13,3075.5,684.098259,4.495699206,164.5129249
26C,E,1606,1394,7,13,1645,NA,NA,309.7514539
32V,G,1760,1240,6,14,452.3820997,2103.43666,0.215068088,156.9291082
32R,G,903.1,2096.9,11,9,828.6758186,1617.977105,0.512167827,341.3121699
32C,G,#REF!,None,None,84.5,875.1073879,305.0986462,2.868276863,284.9351599
68V,Ja,1029.6,1970.4,10.15670103,10,1683.930677,1021.48877,1.648506304,63.32957001
68R,Ja,1580,1420,7.319587629,23,262.3111017,2008.173044,0.130621762,82.32851008
68C,Ja,3850,None,None,30,2005.341071,1433.920119,1.398502639,227.5039544
72V,G,#REF!,None,None,88.4,2107.48,482.500649,4.367828322,46.18477169
72R,G,#REF!,1707.9,8.8,48.2,1664,41.2916815,40.29867372,13.99783793
72C,G,3275,None,None,105,349.2,2495.272,0.139944663,1418.150567
87V,G,2068,932,5,15,186.8,2233.69961,0.083628076,38.4825725
87R,G,1061.5,1938.5,10,10,953.3,778.639088,1.224315623,33.8870764
87C,G,2484,516,3,87,151.5,1666.66641,0.090900014,156.5296968
98V,G,#REF!,430.6,2.21,69.78,344,3947.59884,0.08714158,84.66803866
98R,G,#REF!,None,None,52,31549,555.293467,56.81500301,262.0772897
98C,G,3250,None,None,105,434.4,1809.35421,0.24008566,1742.01791
107V,Ja,#REF!,504,2.59,47.41,2218,1301.54811,1.704124483,47.05493905
107R,Ja,#REF!,190.8,1,54,18377,708.58638,25.93473501,190.4395431
107C,Ja,2276,724,4,86,120.18,815.620989,0.147347851,86.66605405
192V,Ja,#REF!,None,None,43,328,2383.45301,0.137615467,90.01675557
192R,Ja,#REF!,2012,10.3,43.7,43905,1550.32643,28.31984229,312.3049527
192C,Ja,3125,None,None,105,275.1,NA,NA,425.9618261
227V,G,1570,1430,7,23,1824,2790.56356,0.653631412,109.5888679
227R,G,1012,1988,10,10,470.5,NA,NA,22.26700521
227C,G,2730,270,1,29,3257.49,NA,NA,728.0297702
362V,F,2982,None,None,70,1933.677017,829.484319,2.331179713,80.73861675
362R,F,3650,None,None,105,576.2501901,1236.356323,0.46608747,165.2597257
362C,F,3775,None,None,105,136.4199664,1067.45176,0.127799655,239.4672231
519V,E,2967.8,None,None,9,532.044,1918.343,0.277345605,123.0050531
519R,E,1324,1676,9,81,185.7969578,136.4292738,1.361855507,46.22006314
519C,E,1210,1790,9,11,63753.53887,NA,NA,1933.492158
564V,E,1914,1086,6,14,894.9899688,2781.22135,0.321797461,34.80633926
564R,E,1683,1317,7,13,404.0641165,2515.308857,0.160641949,70.0811544
564C,Ja,1476,1524,8,102,2953.965787,794.3787838,3.718585953,379.1702175
753V,G,1610,1390,7,23,772.9,3714.72251,0.208063993,152.6459825
753R,G,4048.2,None,None,7,121.89,5.15750992,23.63349793,20.22567838
753C,G,1050,1950,10,20,570.39,NA,NA,94.55192567
908V,Ja,3162.3,None,None,None,116.7542348,2771.41399,0.042128038,87.13967323
908R,Ja,3140.4,None,None,8,483.0910931,779.604364,0.619661864,219.5478605
