Participant	Group	Endocervical.clade.ompA.genotype	Rectal.clade.ompA.genotype	Vaginal.clade.ompA.genotype	R_bases	C_bases	V_bases	R_recomb_bases	C_recomb_bases	V_recomb_bases	AllF	AllFrare	AllFrecomb	AllRI	AllRIrare	AllRIrecomb	RonlyF	RonlyFrare	RonlyFrecomb	RonlyRI	RonlyRIrare	RonlyRIrecomb	ConlyF	ConlyFrare	ConlyFrecomb	ConlyRI	ConlyRIrare	ConlyRIrecomb	VonlyF	VonlyFrare	VonlyFrecomb	VonlyRI	VonlyRIrare	VonlyRIrecomb	RConlyF	RConlyFrare	RConlyFrecomb	RConlyRI	RConlyRIrare	RConlyRIrecomb	RVonlyF	RVonlyFrare	RVonlyFrecomb	RVonlyRI	RVonlyRIrare	RVonlyRIrecomb	VConlyF	VConlyFrare	VConlyFrecomb	VConlyRI	VConlyRIrare	VConlyRIrecomb	RonlyF_VIrare	RonlyF_CIrare	RonlyF_CandVIrare	ConlyF_VIrare	ConlyF_RIrare	ConlyF_RandVIrare	VonlyF_CIrare	VonlyF_RIrare	VonlyF_CandRIrare	RCF_VIrare	RVF_CIrare	CVF_RIrare
26	A	5/E	5/E	5/E	1039193	1039793	1037157	24514	24514	3567	5316	1264	13	213	196	3	0	0	0	111	91	2	0	0	0	20	16	1	0	0	0	50	50	1	0	0	0	16	10	0	0	0	0	2	2	0	0	0	0	7	6	0	0	0	0	0	0	3	0	0	1	1	0	1
32	B	5/G	5/G	4/G	1039390	946335	1040321	1500	1680	82373	759	547	344	188	174	14	0	0	0	30	18	16	0	0	0	254	251	24	0	0	0	715	415	89	14	14	0	15	14	2	0	0	0	2	1	0	0	0	0	6	5	1	0	0	1	0	0	1	0	0	0	465	0	1
68	A	5/Ja	5/Ja	5/Ja	1034632	1038642	1035568	206	66	0	5241	1085	0	187	176	0	0	0	0	58	53	0	0	0	0	18	18	0	0	0	0	59	57	0	0	0	0	8	7	0	0	0	0	5	3	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	7	0	3
72	A	4/G	4/G	4/G	344700	1041370	1030153	72610	73594	44984	554	341	114	20	19	0	0	0	0	70	65	1	0	0	0	13	13	2	0	0	0	55	40	3	0	0	0	2	2	0	0	0	0	12	3	1	0	0	0	5	5	2	0	0	1	0	0	0	0	0	0	0	8	0
87	A	4/G	4/G	4/G	1016776	1040034	1025941	0	0	0	1006	721	0	70	68	0	0	0	0	148	126	0	0	0	0	149	149	0	0	0	0	131	110	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	7	3	0	0	0	0	1	0	0	0	0	0	5	0	5
98	A	4/G	4/G	4/G	1041497	1041469	1036601	0	0	0	1247	880	0	79	74	0	0	0	0	39	27	0	0	0	0	30	30	0	0	0	0	79	69	0	0	0	0	3	3	0	0	0	0	37	7	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	23	0
107	A	5/Ja	5/Ja	5/Ja	1039211	794999	1030679	951	951	0	3600	729	32	109	108	0	2	2	0	51	30	0	0	0	0	274	274	0	0	0	0	88	74	0	0	0	0	2	2	0	0	0	0	28	5	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	3	0
192	A	5/Ja	5/Ja	5/Ja	1040101	1039603	1038696	47523	47748	47523	5245	1330	83	187	177	3	2	2	0	32	25	1	0	0	0	81	81	4	0	0	0	104	90	5	0	0	0	6	5	0	2	1	0	55	11	1	0	0	0	3	2	0	0	0	0	0	0	0	2	0	2	0	14	1
227	A	4/G	4/G	4/G	822798	1041331	1039947	14887	16439	14887	825	582	28	57	53	1	0	0	0	221	192	7	0	0	0	1	1	0	0	0	0	35	35	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
362	A	4/F	4/F	4/F	1035844	1039225	1039676	168863	168863	168755	1986	939	822	106	94	32	0	0	0	198	195	27	0	0	0	124	124	21	0	0	0	77	76	11	0	0	0	9	9	3	0	0	0	7	3	1	0	0	0	3	2	1	0	0	2	0	0	2	0	0	1	3	0	3
519	A	5/E	5/E	5/E	819909	1040846	1037480	0	395	226	4066	860	17	143	138	0	0	0	0	251	250	0	0	0	0	3	2	0	0	0	0	202	200	0	0	0	0	3	3	0	0	0	0	1	1	0	0	0	0	4	3	0	0	0	1	0	0	0	0	0	0	3	0	0
564	B	5/Ja	5/E	5/E	1036488	1039241	1014542	23231	0	23231	4750	949	21	162	153	1	0	0	0	105	105	1	235	72	104	44	43	3	0	0	0	133	128	4	0	0	0	4	4	0	183	107	59	17	16	8	0	0	0	3	3	2	0	0	1	0	0	0	0	0	0	4	0	0
753	A	4/G	4/G	4/G	620345	1038798	1039514	0	0	0	633	451	0	50	46	0	0	0	0	307	176	0	0	0	0	26	26	0	0	0	0	26	25	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	10
908	A	5/Ja	5/Ja	5/Ja	1037835	1034360	1007475	1691	1485	1485	4911	1010	36	163	156	0	0	0	0	51	51	0	0	0	0	130	120	0	0	0	0	232	228	0	0	0	0	6	4	0	0	0	0	5	4	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	3	6	0	2
927	A	5/E	5/E	5/E	1040734	1040247	1040215	27215	27215	8664	5464	1388	149	297	263	20	0	0	0	29	27	0	0	0	0	13	13	0	0	0	0	27	22	2	0	0	0	12	11	0	0	0	0	9	8	2	0	0	0	6	6	0	0	0	0	0	0	0	0	0	1	3	1	1
951	A	5/E	5/E	5/E	1040363	1039367	1038495	16904	13256	13256	5291	1192	85	262	238	7	0	0	0	35	23	1	1	1	0	16	15	0	0	0	0	95	88	0	0	0	0	15	13	1	0	0	0	5	4	0	0	0	0	6	6	0	0	0	0	0	0	7	0	0	1	27	0	2
968	A	4/G	4/G	4/G	578878	1041593	1040312	0	0	0	605	436	0	53	44	0	0	0	0	643	208	0	0	0	0	2	1	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	1	0	0	1	1	0	21
1077	A	5/Ja	5/Ja	5/Ja	799453	1038981	979648	14177	15083	14758	3172	670	133	106	99	7	0	0	0	270	226	4	0	0	0	9	9	1	0	0	0	91	79	2	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	29
